Ubicacion,Fallo,Tiempo_medio_entre_fallos(h),Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Sur,0,1201.5714285714287,112.83,4.94,66570.0,Generador,ABB,Z300,1144.0,6556
Planta Oeste,1,1103.25,149.71,4.85,56261.0,Generador,Schneider,Z300,2723.0,5136
Planta Norte,0,769.6666666666666,92.63,0.15,9070.0,Compresor,Siemens,X100,3778.0,7104
Planta Norte,0,769.6666666666666,52.44,0.7,5964.0,Compresor,Siemens,X100,3778.0,7104
Planta Sur,1,1222.2857142857142,59.77,3.67,7674.0,Motor,Schneider,Z300,3933.0,7775
Planta Norte,1,1103.25,149.71,4.85,56261.0,Generador,Schneider,Z300,2723.0,5136
Planta Este,1,1035.75,63.39,0.23,24270.0,Compresor,Siemens,M400,314.0,6739
Planta Este,1,1035.75,109.35,4.38,97861.0,Compresor,Siemens,M400,314.0,6739
Planta Oeste,0,960.7777777777778,106.84,2.74,86233.0,Generador,GE,X100,248.0,865
Planta Sur,0,1098.5,65.82,1.55,26350.0,Compresor,Schneider,Z300,1232.0,9397
Planta Sur,0,1098.5,277.88,0.88,99220.0,Compresor,Schneider,Z300,1232.0,9397
Planta Norte,0,1098.5,65.82,1.55,26350.0,Compresor,Schneider,Z300,1232.0,9397
Planta Norte,0,1098.5,277.88,0.88,99220.0,Compresor,Schneider,Z300,1232.0,9397
Planta Norte,1,724.9166666666666,115.78,0.78,46870.0,Compresor,Schneider,Z300,506.0,9555
Planta Norte,0,927.1666666666666,74.78,3.59,49479.0,Transformador,Schneider,Y200,4585.0,6931
Planta Norte,0,927.1666666666666,66.13,2.46,76483.0,Transformador,Schneider,Y200,4585.0,6931
Planta Norte,0,927.1666666666666,109.37,0.72,5100.0,Transformador,Schneider,Y200,4585.0,6931
Planta Sur,1,659.5714285714286,85.02,3.01,36109.0,Compresor,ABB,M400,2074.0,6712
Planta Norte,1,1299.142857142857,142.87,4.78,68007.0,Motor,Schneider,M400,2185.0,2890
Planta Norte,1,1299.142857142857,115.3,3.23,41858.0,Motor,Schneider,M400,2185.0,2890
Planta Sur,1,793.1818181818181,93.03,2.61,94494.0,Transformador,GE,M400,-100.0,917
Planta Sur,1,793.1818181818181,118.68,2.26,49717.0,Transformador,GE,M400,-100.0,917
Planta Sur,1,793.1818181818181,74.8,4.39,17432.0,Transformador,GE,M400,-100.0,917
Planta Oeste,0,789.25,69.28,4.31,5666.0,Motor,Siemens,Z300,4932.0,8281
Planta Oeste,0,789.25,128.35,3.16,64269.0,Motor,Siemens,Z300,4932.0,8281
Planta Norte,0,1132.5714285714287,74.99,1.49,8218.0,Transformador,Schneider,Z300,544.0,3331
Planta Norte,0,1132.5714285714287,139.05,3.39,10441.0,Transformador,Schneider,Z300,544.0,3331
Planta Oeste,0,1493.5,55.31,3.66,31962.0,Compresor,Siemens,Y200,1329.0,4014
Planta Sur,0,1633.2,83.68,1.02,20737.0,Compresor,Schneider,X100,329.0,3339
Planta Sur,0,1633.2,107.07,1.39,79094.0,Compresor,Schneider,X100,329.0,3339
Planta Sur,0,1633.2,102.38,2.52,1820.0,Compresor,Schneider,X100,329.0,3339
Planta Este,1,620.2307692307693,96.55,3.34,48032.0,Transformador,Siemens,Z300,1106.0,1460
Planta Este,1,620.2307692307693,92.5,4.88,32605.0,Transformador,Siemens,Z300,1106.0,1460
Planta Oeste,1,833.9,112.89,1.31,97043.0,Generador,ABB,Y200,1884.0,6904
Planta Oeste,1,833.9,72.39,1.69,35299.0,Generador,ABB,Y200,1884.0,6904
Planta Oeste,1,833.9,98.15,1.41,91472.0,Generador,ABB,Y200,1884.0,6904
Planta Oeste,1,833.9,119.14,1.79,1541.0,Generador,ABB,Y200,1884.0,6904
Planta Oeste,0,862.1818181818181,77.49,4.64,27551.0,Motor,ABB,Z300,227.0,7274
Planta Oeste,0,862.1818181818181,137.25,4.24,70473.0,Motor,ABB,Z300,227.0,7274
Planta Este,1,1298.0,50.41,0.71,63195.0,Generador,ABB,X100,1333.0,6304
Planta Este,1,1298.0,74.25,4.57,19342.0,Generador,ABB,X100,1333.0,6304
Planta Oeste,0,1233.25,147.43,2.21,59258.0,Generador,GE,X100,2625.0,4602
Planta Oeste,1,1222.5,60.68,4.09,93785.0,Generador,Schneider,X100,2565.0,9374
Planta Oeste,1,1222.5,82.28,2.17,50471.0,Generador,Schneider,X100,2565.0,9374
Planta Oeste,1,1222.5,89.64,1.83,91499.0,Generador,Schneider,X100,2565.0,9374
Planta Oeste,1,1222.5,86.87,1.23,53347.0,Generador,Schneider,X100,2565.0,9374
Planta Oeste,1,902.9090909090909,69.1,1.87,60571.0,Compresor,GE,X100,3513.0,8895
Planta Este,0,1827.0,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Oeste,0,623.5384615384615,107.3,2.14,98436.0,Compresor,Schneider,Y200,1671.0,8525
Planta Oeste,0,623.5384615384615,137.64,1.56,54116.0,Compresor,Schneider,Y200,1671.0,8525
Planta Este,1,584.6666666666666,96.64,3.14,80196.0,Transformador,Siemens,Z300,1396.0,8560
Planta Este,1,584.6666666666666,120.03,3.52,60029.0,Transformador,Siemens,Z300,1396.0,8560
Planta Norte,0,775.2857142857143,67.76,0.68,20811.0,Transformador,Schneider,M400,3805.0,4578
Planta Norte,0,775.2857142857143,107.32,4.07,53294.0,Transformador,Schneider,M400,3805.0,4578
Planta Este,0,1063.375,139.71,2.28,23355.0,Transformador,ABB,M400,11976.5,1474
Planta Este,0,1063.375,136.92,4.02,75127.0,Transformador,ABB,M400,11976.5,1474
Planta Este,0,1063.375,122.04,1.46,13082.0,Transformador,ABB,M400,11976.5,1474
Planta Norte,1,623.5,102.17,0.83,53665.0,Generador,Siemens,X100,3877.0,7529
Planta Oeste,0,951.9,140.34,4.17,31423.0,Transformador,Siemens,X100,2539.0,9026
Planta Oeste,0,951.9,119.69,4.42,55190.0,Transformador,Siemens,X100,2539.0,9026
Planta Oeste,0,951.9,106.4,0.45,46043.0,Transformador,Siemens,X100,2539.0,9026
Planta Sur,0,662.3846153846154,131.59,1.01,52605.0,Transformador,Schneider,Z300,907.0,5243
Planta Sur,0,662.3846153846154,58.13,1.07,19743.0,Transformador,Schneider,Z300,907.0,5243
Planta Sur,0,575.5,76.91,3.95,52148.0,Transformador,ABB,Y200,2166.0,9505
Planta Sur,1,740.0909090909091,51.68,3.7,88957.0,Transformador,GE,Z300,4482.0,6699
Planta Sur,1,740.0909090909091,61.24,5.0,36812.0,Transformador,GE,Z300,4482.0,6699
Planta Oeste,1,656.7142857142857,109.9,3.37,17717.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,1,656.7142857142857,134.21,4.65,37232.0,Generador,Schneider,Y200,633.0,8203
Planta Este,1,1004.625,61.77,4.4,64100.0,Motor,ABB,Y200,3925.0,5112
Planta Oeste,1,1813.6,149.28,3.89,96694.0,Transformador,ABB,Y200,3674.0,8328
Planta Sur,1,1116.125,137.35,3.38,62236.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,1,1116.125,58.95,4.06,10895.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,1,1116.125,61.27,0.6,6243.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,1,1116.125,144.26,1.73,86011.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,974.125,97.42,2.45,40458.0,Compresor,GE,Z300,621.0,3529
Planta Sur,0,974.125,62.83,0.66,32653.0,Compresor,GE,Z300,621.0,3529
Planta Sur,0,974.125,59.47,4.66,49316.0,Compresor,GE,Z300,621.0,3529
Planta Sur,0,974.125,74.74,1.49,59498.0,Compresor,GE,Z300,621.0,3529
Planta Oeste,1,1045.125,51.96,4.73,89000.0,Generador,ABB,Y200,4432.0,7987
Planta Oeste,1,1045.125,93.0,0.65,77377.0,Generador,ABB,Y200,4432.0,7987
Planta Oeste,1,3040.0,55.2,3.23,81948.0,Transformador,Siemens,Z300,1958.0,9066
Planta Este,0,669.5,126.5,0.41,15905.0,Motor,Schneider,X100,2315.0,3170
Planta Sur,1,830.5555555555555,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,830.5555555555555,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,1376.1666666666667,86.85,1.62,16236.0,Generador,Schneider,Z300,2294.0,5147
Planta Sur,1,440.7142857142857,132.26,1.8,86067.0,Generador,ABB,Y200,1702.0,8433
Planta Norte,1,1019.5555555555555,60.51,1.98,17518.0,Compresor,GE,X100,11976.5,7340
Planta Oeste,0,1827.0,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Sur,1,663.6,83.36,3.57,67825.0,Compresor,Schneider,Z300,3000.0,1986
Planta Sur,1,663.6,95.55,2.36,79279.0,Compresor,Schneider,Z300,3000.0,1986
Planta Sur,1,663.6,66.76,1.55,55768.0,Compresor,Schneider,Z300,3000.0,1986
Planta Este,1,1206.5714285714287,120.37,2.42,65314.0,Compresor,Siemens,Z300,2707.0,5146
Planta Este,1,1206.5714285714287,95.18,0.12,44635.0,Compresor,Siemens,Z300,2707.0,5146
Planta Este,0,1114.5,94.76,0.96,2188.0,Compresor,Schneider,Y200,3935.0,1613
Planta Sur,0,959.8888888888889,93.06,3.8,9369.0,Transformador,GE,M400,423.0,5091
Planta Sur,0,959.8888888888889,136.58,0.92,52410.0,Transformador,GE,M400,423.0,5091
Planta Oeste,0,1329.1666666666667,89.94,2.13,73735.0,Generador,GE,Y200,1926.0,3277
Planta Oeste,0,1329.1666666666667,114.36,1.67,73281.0,Generador,GE,Y200,1926.0,3277
Planta Oeste,0,1329.1666666666667,105.85,4.85,30125.0,Generador,GE,Y200,1926.0,3277
Planta Sur,1,604.7272727272727,59.89,1.59,18908.0,Generador,Siemens,X100,4387.0,665
Planta Este,0,668.9090909090909,119.81,4.79,32872.0,Motor,GE,X100,182.0,904
Planta Este,0,668.9090909090909,86.47,2.3,5848.0,Motor,GE,X100,182.0,904
Planta Este,0,768.8571428571429,143.86,1.21,14129.0,Transformador,GE,X100,4333.0,3246
Planta Oeste,1,1019.5555555555555,60.51,1.98,17518.0,Compresor,GE,X100,11976.5,7340
Planta Este,0,1632.4,89.39,0.76,58238.0,Compresor,Schneider,X100,3744.0,1706
Planta Este,0,1401.2,112.39,2.62,76618.0,Compresor,GE,X100,2766.0,1383
Planta Sur,0,664.3076923076923,92.53,0.26,8798.0,Generador,Schneider,M400,2372.0,5027
Planta Sur,1,809.7,134.08,2.62,86280.0,Motor,ABB,X100,2331.0,9958
Planta Sur,1,1827.0,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Este,1,606.3333333333334,145.64,4.7,65395.0,Transformador,GE,Y200,1307.0,9099
Planta Este,1,606.3333333333334,145.04,0.59,8796.0,Transformador,GE,Y200,1307.0,9099
Planta Oeste,1,570.6,66.41,1.35,61589.0,Transformador,ABB,Z300,2727.0,6994
Planta Oeste,0,887.6666666666666,82.45,4.0,86092.0,Generador,GE,Y200,307.0,7472
Planta Este,0,1482.5,147.57,0.43,48223.0,Motor,ABB,Y200,4152.0,3183
Planta Norte,0,3040.0,55.2,3.23,81948.0,Transformador,Siemens,Z300,1958.0,9066
Planta Este,0,623.5,102.17,0.83,53665.0,Generador,Siemens,X100,3877.0,7529
Planta Sur,0,762.75,116.91,1.91,41248.0,Transformador,Schneider,Y200,4004.0,1119
Planta Sur,0,762.75,104.73,3.48,7030.0,Transformador,Schneider,Y200,4004.0,1119
Planta Norte,0,1330.5,130.4,0.26,9042.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,0,1330.5,104.96,3.27,22318.0,Transformador,Siemens,M400,899.0,3355
Planta Norte,0,837.2,85.33,4.93,61901.0,Transformador,Schneider,M400,1099.0,8663
Planta Norte,0,837.2,86.975,3.38,20018.5,Transformador,Schneider,M400,1099.0,8663
Planta Norte,0,837.2,69.21,0.55,37154.0,Transformador,Schneider,M400,1099.0,8663
Planta Norte,0,1132.5714285714287,74.99,1.49,8218.0,Transformador,Schneider,Z300,544.0,3331
Planta Norte,0,1132.5714285714287,139.05,3.39,10441.0,Transformador,Schneider,Z300,544.0,3331
Planta Oeste,1,669.5,126.5,0.41,15905.0,Motor,Schneider,X100,2315.0,3170
Planta Este,1,499.06666666666666,140.66,2.95,57760.0,Transformador,Siemens,X100,4948.0,6720
Planta Este,1,499.06666666666666,87.44,4.37,34665.0,Transformador,Siemens,X100,4948.0,6720
Planta Oeste,0,1145.3333333333333,136.34,1.84,32538.0,Transformador,Siemens,Y200,3835.0,7627
Planta Norte,1,931.1111111111111,71.8,1.76,80007.0,Generador,Siemens,Y200,464.0,9272
Planta Este,0,1098.5,65.82,1.55,26350.0,Compresor,Schneider,Z300,1232.0,9397
Planta Este,0,1098.5,277.88,0.88,99220.0,Compresor,Schneider,Z300,1232.0,9397
Planta Sur,0,1120.5,108.29,4.39,25748.0,Transformador,Siemens,Z300,1881.0,4891
Planta Sur,0,1120.5,72.08,2.33,83716.0,Transformador,Siemens,Z300,1881.0,4891
Planta Sur,0,1120.5,130.55,2.69,87563.0,Transformador,Siemens,Z300,1881.0,4891
Planta Sur,1,1099.75,141.73000000000002,2.085,59796.5,Motor,Schneider,Y200,4409.0,1633
Planta Sur,1,1099.75,115.37,2.09,50572.0,Motor,Schneider,Y200,4409.0,1633
Planta Sur,1,1099.75,135.91,3.87,18070.0,Motor,Schneider,Y200,4409.0,1633
Planta Norte,1,1436.4,94.14,4.5,2488.0,Compresor,Siemens,Z300,3893.0,4231
Planta Norte,1,1436.4,107.09,1.66,87752.0,Compresor,Siemens,Z300,3893.0,4231
Planta Sur,0,867.4545454545455,54.33,2.84,28451.0,Generador,ABB,Y200,2067.0,9164
Planta Norte,1,762.3333333333334,136.36,3.97,2545.0,Compresor,Schneider,Z300,3973.0,5667
Planta Sur,1,512.6470588235294,53.04,4.81,22588.0,Motor,GE,Y200,1102.0,9400
Planta Sur,1,512.6470588235294,64.81,2.0,23749.0,Motor,GE,Y200,1102.0,9400
Planta Sur,0,1966.0,77.44,3.41,6369.0,Motor,Siemens,X100,1895.0,4108
Planta Sur,0,951.9,140.34,4.17,31423.0,Transformador,Siemens,X100,2539.0,9026
Planta Sur,0,951.9,119.69,4.42,55190.0,Transformador,Siemens,X100,2539.0,9026
Planta Sur,0,951.9,106.4,0.45,46043.0,Transformador,Siemens,X100,2539.0,9026
Planta Norte,0,833.9,112.89,1.31,97043.0,Generador,ABB,Y200,1884.0,6904
Planta Norte,0,833.9,72.39,1.69,35299.0,Generador,ABB,Y200,1884.0,6904
Planta Norte,0,833.9,98.15,1.41,91472.0,Generador,ABB,Y200,1884.0,6904
Planta Norte,0,833.9,119.14,1.79,1541.0,Generador,ABB,Y200,1884.0,6904
Planta Sur,0,966.5,143.85,0.97,84893.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,0,966.5,62.6,4.76,11143.0,Transformador,Siemens,X100,2864.0,6610
Planta Este,1,1012.8888888888889,81.49,1.86,67646.0,Transformador,ABB,X100,1117.0,9988
Planta Sur,0,725.3076923076923,60.86,2.31,94104.0,Generador,Schneider,X100,269.0,7647
Planta Sur,0,725.3076923076923,73.7,1.12,50797.0,Generador,Schneider,X100,269.0,7647
Planta Sur,0,725.3076923076923,145.67,2.26,96804.0,Generador,Schneider,X100,269.0,7647
Planta Norte,1,1312.0,110.97,2.17,44015.0,Transformador,ABB,Z300,1661.0,2753
Planta Sur,1,747.3636363636364,117.995,1.725,8760.0,Motor,ABB,M400,1407.0,6355
Planta Norte,0,849.8,122.09,0.64,66334.0,Motor,ABB,Z300,2601.0,8640
Planta Sur,0,1298.0,50.41,0.71,63195.0,Generador,ABB,X100,1333.0,6304
Planta Sur,0,1298.0,74.25,4.57,19342.0,Generador,ABB,X100,1333.0,6304
Planta Oeste,1,623.5384615384615,107.3,2.14,98436.0,Compresor,Schneider,Y200,1671.0,8525
Planta Oeste,1,623.5384615384615,137.64,1.56,54116.0,Compresor,Schneider,Y200,1671.0,8525
Planta Sur,1,785.4,77.63,2.56,66254.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,109.76,2.84,47383.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,105.0,0.29,72870.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,58.23,0.87,78551.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,95.72,1.1,84637.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,101.6,2.62,44415.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,785.4,51.13,4.96,64379.0,Transformador,GE,X100,4003.0,5004
Planta Sur,1,959.6666666666666,94.73,1.04,86735.0,Compresor,ABB,Z300,1328.0,7713
Planta Norte,1,575.5,76.91,3.95,52148.0,Transformador,ABB,Y200,2166.0,9505
Planta Este,1,1379.5714285714287,145.0,4.63,73670.0,Compresor,Schneider,X100,1192.0,6299
Planta Este,1,636.2307692307693,75.595,2.115,65740.0,Generador,ABB,X100,4856.0,4327
Planta Norte,0,1632.4,89.39,0.76,58238.0,Compresor,Schneider,X100,3744.0,1706
Planta Este,1,1050.3333333333333,96.15,4.11,86976.0,Transformador,ABB,Z300,-100.0,9737
Planta Este,1,1050.3333333333333,95.47,3.97,82741.0,Transformador,ABB,Z300,-100.0,9737
Planta Sur,1,702.5454545454545,80.21,4.32,32037.0,Compresor,ABB,X100,1915.0,6573
Planta Sur,1,702.5454545454545,131.1,3.75,80419.0,Compresor,ABB,X100,1915.0,6573
Planta Sur,1,702.5454545454545,132.42,0.37,59951.0,Compresor,ABB,X100,1915.0,6573
Planta Este,0,827.0,105.34,1.31,87869.0,Compresor,GE,X100,637.0,5843
Planta Este,0,827.0,110.69,3.55,10028.0,Compresor,GE,X100,637.0,5843
Planta Sur,0,840.1818181818181,50.81,1.69,14641.0,Generador,GE,Z300,1885.0,5439
Planta Este,0,1002.5,77.03,2.46,97461.0,Generador,Schneider,M400,3148.0,4496
Planta Este,1,880.1,61.45,4.2,3918.0,Compresor,Schneider,Z300,3453.0,1807
Planta Este,0,959.6666666666666,94.73,1.04,86735.0,Compresor,ABB,Z300,1328.0,7713
Planta Sur,1,1493.5,55.31,3.66,31962.0,Compresor,Siemens,Y200,1329.0,4014
Planta Este,1,769.6666666666666,92.63,0.15,9070.0,Compresor,Siemens,X100,3778.0,7104
Planta Este,1,769.6666666666666,52.44,0.7,5964.0,Compresor,Siemens,X100,3778.0,7104
Planta Norte,1,1044.8333333333333,70.72,0.74,19259.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,0,1132.5714285714287,74.99,1.49,8218.0,Transformador,Schneider,Z300,544.0,3331
Planta Este,0,1132.5714285714287,139.05,3.39,10441.0,Transformador,Schneider,Z300,544.0,3331
Planta Oeste,1,661.0,120.55,0.21,93712.0,Motor,GE,Y200,1584.0,4722
Planta Oeste,1,661.0,57.84,2.03,87634.0,Motor,GE,Y200,1584.0,4722
Planta Oeste,1,661.0,120.55,4.28,79060.0,Motor,GE,Y200,1584.0,4722
Planta Sur,0,793.1818181818181,93.03,2.61,94494.0,Transformador,GE,M400,-100.0,917
Planta Sur,0,793.1818181818181,118.68,2.26,49717.0,Transformador,GE,M400,-100.0,917
Planta Sur,0,793.1818181818181,74.8,4.39,17432.0,Transformador,GE,M400,-100.0,917
Planta Sur,1,787.25,111.1,2.23,84166.0,Transformador,GE,Z300,2713.0,3142
Planta Sur,1,787.25,50.55,0.11,17618.0,Transformador,GE,Z300,2713.0,3142
Planta Este,1,549.1333333333333,77.71000000000001,3.11,72145.0,Generador,GE,Y200,4854.0,2005
Planta Oeste,1,717.0769230769231,80.48,0.71,35250.0,Generador,Siemens,M400,2532.0,7947
Planta Oeste,1,717.0769230769231,69.75,0.34,41078.0,Generador,Siemens,M400,2532.0,7947
Planta Oeste,1,717.0769230769231,143.41,3.46,95716.0,Generador,Siemens,M400,2532.0,7947
Planta Sur,1,797.6,98.32,1.69,92548.0,Compresor,Schneider,Z300,768.0,7515
Planta Este,1,775.8181818181819,135.27,4.21,59786.0,Compresor,Schneider,Y200,1568.0,6806
Planta Este,1,775.8181818181819,56.27,3.62,23550.0,Compresor,Schneider,Y200,1568.0,6806
Planta Este,1,775.8181818181819,119.46,0.21,49421.0,Compresor,Schneider,Y200,1568.0,6806
Planta Oeste,0,1044.8333333333333,70.72,0.74,19259.0,Motor,Siemens,Z300,1883.0,9004
Planta Este,1,728.0833333333334,87.31,3.58,58469.0,Generador,Siemens,Z300,3332.0,6373
Planta Este,1,728.0833333333334,86.36,0.7,11813.0,Generador,Siemens,Z300,3332.0,6373
Planta Sur,0,1080.25,63.28,2.58,62370.0,Motor,ABB,Y200,2493.0,2315
Planta Sur,0,1080.25,88.02,3.59,1518.0,Motor,ABB,Y200,2493.0,2315
Planta Este,1,727.5,148.28,3.43,7202.0,Generador,Schneider,Y200,2363.0,5881
Planta Este,1,727.5,125.69,4.8,48713.0,Generador,Schneider,Y200,2363.0,5881
Planta Este,1,1354.857142857143,68.34,1.88,30638.0,Generador,ABB,M400,2102.0,1681
Planta Sur,0,982.5555555555555,109.49,3.55,55924.0,Motor,GE,X100,1599.0,8383
Planta Sur,0,982.5555555555555,79.8,5.0,38637.0,Motor,GE,X100,1599.0,8383
Planta Sur,0,982.5555555555555,107.94,0.78,34625.0,Motor,GE,X100,1599.0,8383
Planta Este,0,1050.3333333333333,96.15,4.11,86976.0,Transformador,ABB,Z300,-100.0,9737
Planta Este,0,1050.3333333333333,95.47,3.97,82741.0,Transformador,ABB,Z300,-100.0,9737
Planta Sur,1,570.6,66.41,1.35,61589.0,Transformador,ABB,Z300,2727.0,6994
Planta Norte,1,1299.0,50.24,0.97,84403.0,Transformador,Schneider,Y200,3050.0,7955
Planta Norte,1,1299.0,82.84,4.62,14597.0,Transformador,Schneider,Y200,3050.0,7955
Planta Este,0,674.2857142857143,55.35,0.52,82799.0,Transformador,GE,Y200,100.0,7685
Planta Este,1,789.25,69.28,4.31,5666.0,Motor,Siemens,Z300,4932.0,8281
Planta Este,1,789.25,128.35,3.16,64269.0,Motor,Siemens,Z300,4932.0,8281
Planta Sur,0,701.0769230769231,110.11,4.13,84191.0,Transformador,Schneider,X100,326.0,7398
Planta Este,1,822.4545454545455,148.37,2.79,90928.0,Transformador,ABB,Y200,3158.0,3100
Planta Este,1,822.4545454545455,84.3,1.77,75703.0,Transformador,ABB,Y200,3158.0,3100
Planta Norte,1,1071.75,71.06,3.5,69543.0,Motor,ABB,X100,4694.0,7565
Planta Sur,1,822.4545454545455,148.37,2.79,90928.0,Transformador,ABB,Y200,3158.0,3100
Planta Sur,1,822.4545454545455,84.3,1.77,75703.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,804.1818181818181,139.66,2.55,59441.0,Motor,GE,Z300,131.0,7942
Planta Oeste,1,804.1818181818181,98.35,2.69,2866.0,Motor,GE,Z300,131.0,7942
Planta Oeste,1,804.1818181818181,120.04,1.78,68957.0,Motor,GE,Z300,131.0,7942
Planta Oeste,1,804.1818181818181,74.57,2.84,96413.0,Motor,GE,Z300,131.0,7942
Planta Oeste,0,1222.2857142857142,59.77,3.67,7674.0,Motor,Schneider,Z300,3933.0,7775
Planta Sur,0,913.125,140.43,4.22,42783.0,Transformador,ABB,Z300,1711.0,9571
Planta Sur,0,913.125,84.56,4.36,93775.0,Transformador,ABB,Z300,1711.0,9571
Planta Sur,0,913.125,69.92,0.48,91519.0,Transformador,ABB,Z300,1711.0,9571
Planta Este,0,762.3333333333334,136.36,3.97,2545.0,Compresor,Schneider,Z300,3973.0,5667
Planta Este,1,1015.625,88.92,1.16,27800.0,Transformador,GE,Y200,2825.0,3079
Planta Este,1,1015.625,74.83,2.35,22949.0,Transformador,GE,Y200,2825.0,3079
Planta Norte,0,711.2727272727273,54.77,0.41,4539.0,Compresor,ABB,Y200,639.0,3911
Planta Sur,0,837.4545454545455,54.2,0.1,17104.0,Transformador,Schneider,X100,968.0,2098
Planta Sur,0,837.4545454545455,64.65,1.36,93963.0,Transformador,Schneider,X100,968.0,2098
Planta Este,0,1345.7142857142858,97.94,3.93,60074.0,Compresor,ABB,Z300,1957.0,3472
Planta Norte,0,1354.857142857143,86.67,0.28,27022.0,Generador,ABB,M400,2780.0,4535
Planta Sur,0,1269.142857142857,126.39,3.54,44600.0,Compresor,GE,M400,2471.0,7099
Planta Sur,0,1269.142857142857,54.01,2.16,6730.0,Compresor,GE,M400,2471.0,7099
Planta Sur,0,681.5454545454545,111.42,1.28,71008.0,Transformador,ABB,Y200,2069.0,3105
Planta Sur,0,681.5454545454545,53.72,0.93,72473.0,Transformador,ABB,Y200,2069.0,3105
Planta Sur,0,681.5454545454545,66.8,4.1,35080.0,Transformador,ABB,Y200,2069.0,3105
Planta Este,0,764.9090909090909,108.4,0.15,7787.0,Transformador,Schneider,Z300,3479.0,3874
Planta Este,0,972.0,137.63,1.21,88749.0,Transformador,Siemens,Y200,11976.5,1947
Planta Oeste,1,680.3571428571429,60.19,0.28,54310.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,680.3571428571429,138.88,2.42,11544.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,680.3571428571429,60.34,0.77,49244.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,1330.5,130.4,0.26,9042.0,Transformador,Siemens,M400,899.0,3355
Planta Oeste,1,1330.5,104.96,3.27,22318.0,Transformador,Siemens,M400,899.0,3355
Planta Oeste,1,1054.2222222222222,80.24,4.09,49885.0,Motor,Schneider,Y200,2570.0,6128
Planta Este,0,1708.2,107.91,2.6,7681.0,Generador,Siemens,M400,3436.0,7039
Planta Este,1,926.8888888888889,145.54,0.28,5793.0,Motor,Schneider,M400,517.0,2802
Planta Este,1,926.8888888888889,97.36,3.26,48163.0,Motor,Schneider,M400,517.0,2802
Planta Este,1,1099.75,141.73000000000002,2.085,59796.5,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,1099.75,115.37,2.09,50572.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,1099.75,135.91,3.87,18070.0,Motor,Schneider,Y200,4409.0,1633
Planta Oeste,1,636.2307692307693,75.595,2.115,65740.0,Generador,ABB,X100,4856.0,4327
Planta Oeste,1,1336.4,100.25,3.01,205.0,Compresor,Siemens,M400,1112.0,3775
Planta Oeste,1,1336.4,84.74,0.86,39990.0,Compresor,Siemens,M400,1112.0,3775
Planta Sur,1,738.7777777777778,69.95,2.54,77119.0,Motor,Siemens,M400,4693.0,6355
Planta Sur,1,738.7777777777778,84.74,2.48,96634.0,Motor,Siemens,M400,4693.0,6355
Planta Norte,1,658.8181818181819,99.18,3.93,95418.0,Transformador,Siemens,X100,1626.0,4523
Planta Norte,1,867.0,79.47,0.58,71525.0,Transformador,GE,Y200,3653.0,8467
Planta Norte,1,867.0,61.19,0.32,56768.0,Transformador,GE,Y200,3653.0,8467
Planta Este,0,1585.5,53.23,0.67,59349.0,Transformador,ABB,M400,1924.0,1963
Planta Este,0,552.1818181818181,130.33,4.13,75207.0,Transformador,Siemens,Y200,613.0,3036
Planta Este,0,423.8421052631579,53.08,2.52,56756.0,Motor,GE,Z300,4547.0,1070
Planta Este,0,423.8421052631579,92.84,4.69,40102.0,Motor,GE,Z300,4547.0,1070
Planta Este,1,749.0909090909091,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,0,979.375,87.4,4.39,55785.0,Compresor,Schneider,M400,216.0,5122
Planta Este,1,844.6,104.94,3.24,63199.0,Generador,GE,M400,625.0,7863
