Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Sur,1,75.0,67.89,2.11,15.28888888888889,Generador,Schneider,M400,4194.0,2.088611111111111
Planta Este,1,880.0,109.41000000000001,3.58,16.785925925925927,Transformador,Siemens,Y200,75.0,2.0527777777777776
Planta Sur,1,616.0,81.66499999999999,1.035,8.394166666666667,Motor,GE,Z300,3977.0,1.7558333333333334
Planta Este,1,235.0,55.63,3.35,24.92527777777778,Generador,ABB,Y200,-100.0,0.6941666666666667
Planta Este,1,602.0,98.27000000000001,0.855,9.299722222222222,Generador,GE,X100,2157.0,0.8841666666666667
Planta Oeste,1,953.0,134.85000000000002,1.74,8.060972222222222,Transformador,ABB,Z300,-100.0,2.7047222222222222
Planta Oeste,1,1468.0,111.92,2.66,3.399722222222222,Compresor,ABB,M400,2074.0,1.8644444444444443
Planta Oeste,1,210.0,98.15,3.79,13.25611111111111,Motor,ABB,M400,1324.0,1.6766666666666667
Planta Oeste,1,622.0,91.23,3.78,23.220277777777778,Transformador,ABB,Y200,3158.0,0.8611111111111112
Planta Este,1,1376.0,81.58666666666666,2.1833333333333336,10.183148148148149,Motor,Siemens,Z300,4517.0,1.9636111111111112
Planta Sur,0,302.0,119.22999999999999,2.985,20.0375,Transformador,GE,Y200,100.0,2.1347222222222224
Planta Norte,1,788.0,74.45,1.61,19.593055555555555,Compresor,Schneider,Y200,11976.5,1.031111111111111
Planta Este,1,302.0,119.22999999999999,2.985,20.0375,Transformador,GE,Y200,100.0,2.1347222222222224
Planta Sur,1,1697.0,70.1,11.36,27.227777777777778,Compresor,Siemens,M400,4748.0,1.291388888888889
Planta Sur,1,448.0,133.71,4.28,23.483333333333334,Compresor,Schneider,Y200,1671.0,2.3680555555555554
Planta Oeste,1,1958.0,94.93333333333334,2.348333333333333,12.053888888888888,Transformador,Schneider,Z300,3230.0,2.3594444444444442
Planta Sur,1,950.0,75.43,0.22,6.2975,Transformador,Siemens,X100,2864.0,1.836111111111111
Planta Este,1,596.0,108.33,2.49,8.187777777777777,Compresor,GE,Z300,281.0,1.1766666666666667
Planta Este,1,1910.0,69.52333333333333,2.8066666666666666,11.107962962962961,Compresor,Schneider,Z300,3278.0,0.8708333333333333
Planta Este,1,136.0,118.52333333333333,3.3066666666666666,16.468796296296297,Transformador,Siemens,X100,695.0,2.2908333333333335
Planta Este,1,1208.0,83.73,0.12,21.429444444444446,Compresor,GE,Y200,4531.0,2.210277777777778
Planta Oeste,1,800.0,82.05,2.775,12.733611111111111,Generador,GE,Z300,4615.0,0.19305555555555556
Planta Sur,1,639.0,92.99,2.69,8.107222222222223,Transformador,Schneider,Z300,1274.0,0.6608333333333334
Planta Norte,1,332.0,104.35,3.76,17.876666666666665,Compresor,GE,Y200,1730.0,1.8952777777777778
Planta Oeste,1,1256.0,78.42,2.335,3.0743055555555556,Generador,ABB,Y200,1702.0,2.3425
Planta Oeste,0,30.0,69.52333333333333,2.8066666666666666,11.107962962962961,Compresor,Schneider,Z300,3278.0,0.8708333333333333
Planta Oeste,1,447.5,55.86,1.14,26.096666666666668,Transformador,GE,Z300,4980.0,1.7797222222222222
Planta Este,1,141.0,62.59,4.51,0.8463888888888889,Compresor,GE,M400,3918.0,0.5522222222222222
Planta Este,1,179.0,100.6,1.52,26.05638888888889,Motor,ABB,M400,425.0,2.6127777777777776
Planta Oeste,1,1071.0,111.72,2.225,15.862222222222222,Motor,Schneider,Y200,4409.0,0.45361111111111113
Planta Sur,1,30.0,69.52333333333333,2.8066666666666666,11.107962962962961,Compresor,Schneider,Z300,3278.0,0.8708333333333333
Planta Este,1,1596.0,100.46333333333332,2.6666666666666665,5.683148148148148,Motor,ABB,Z300,227.0,2.0205555555555557
Planta Sur,1,720.0,126.815,2.15,21.651666666666667,Transformador,ABB,Z300,3373.0,1.2722222222222221
Planta Este,1,447.5,55.86,1.14,26.096666666666668,Transformador,GE,Z300,4980.0,1.7797222222222222
Planta Oeste,1,1147.0,72.9,2.5300000000000002,5.938888888888889,Transformador,Schneider,M400,3570.0,1.2016666666666667
Planta Este,1,846.0,92.165,2.92,11.410555555555556,Motor,GE,Y200,1931.0,0.1486111111111111
Planta Norte,1,82.0,81.58666666666666,2.1833333333333336,10.183148148148149,Motor,Siemens,Z300,4517.0,1.9636111111111112
Planta Norte,1,1334.0,71.96,0.93,27.463333333333335,Compresor,GE,M400,2537.0,0.33055555555555555
Planta Este,1,1127.0,74.33,2.2,19.11138888888889,Generador,ABB,X100,1206.0,0.2947222222222222
Planta Sur,1,168.0,89.47,3.15,9.2675,Compresor,Schneider,Y200,633.0,2.1069444444444443
Planta Norte,1,1274.0,86.38,4.25,0.1988888888888889,Compresor,GE,Y200,1652.0,2.4555555555555557
Planta Oeste,1,36.0,100.6,1.52,26.05638888888889,Motor,ABB,M400,425.0,2.6127777777777776
Planta Sur,1,689.0,95.72,3.47,13.03,Motor,ABB,Z300,1743.0,1.7208333333333334
Planta Norte,1,152.0,134.62,1.98,2.295,Motor,GE,X100,182.0,0.2511111111111111
Planta Oeste,1,1674.0,81.545,2.96,15.915138888888889,Generador,Schneider,M400,3148.0,1.248888888888889
Planta Este,1,359.0,81.79333333333334,0.9466666666666667,8.493796296296297,Transformador,GE,M400,253.0,2.1566666666666667
Planta Sur,1,941.0,81.24,4.92,13.560833333333333,Motor,ABB,X100,4694.0,2.1013888888888888
Planta Sur,1,746.0,54.62,2.71,23.60333333333333,Transformador,Siemens,Z300,385.0,0.9025
Planta Oeste,1,1417.0,95.385,2.085,18.690694444444443,Motor,GE,Z300,131.0,2.206111111111111
Planta Sur,1,764.0,72.82,4.62,18.76,Motor,Schneider,Y200,-100.0,0.3452777777777778
Planta Sur,1,1210.0,108.275,2.07,18.920277777777777,Motor,GE,Z300,2945.0,1.0105555555555557
Planta Este,1,421.0,61.93,2.14,23.03638888888889,Motor,Schneider,Y200,1706.0,1.9491666666666667
Planta Este,1,25.0,95.72,3.47,13.03,Motor,ABB,Z300,1743.0,1.7208333333333334
Planta Oeste,1,1587.0,118.32333333333334,2.31,7.5936111111111115,Transformador,Siemens,Z300,1106.0,0.40555555555555556
Planta Sur,1,1063.0,107.98,2.936666666666666,11.143148148148148,Generador,Siemens,X100,2395.0,2.4852777777777777
Planta Oeste,1,810.0,96.61000000000001,2.3899999999999997,10.885694444444445,Motor,Schneider,Y200,3480.0,1.2375
Planta Norte,1,1115.0,139.69,0.97,5.562222222222222,Motor,ABB,Z300,4247.0,0.48638888888888887
Planta Sur,1,515.0,55.42,1.29,12.955833333333333,Motor,Schneider,M400,766.0,1.5744444444444445
Planta Sur,1,1340.0,66.815,2.58,12.573194444444445,Motor,Schneider,Y200,3607.0,1.6902777777777778
Planta Sur,1,720.0,103.035,1.8,13.67013888888889,Transformador,Siemens,M400,2038.0,2.2205555555555554
Planta Oeste,1,151.0,55.63,3.35,24.92527777777778,Generador,ABB,Y200,-100.0,0.6941666666666667
Planta Oeste,1,1309.0,60.02,0.19,21.295277777777777,Transformador,Siemens,M400,1700.0,0.16305555555555556
Planta Este,1,243.0,74.43,2.605,10.41611111111111,Generador,Schneider,Y200,2697.0,0.7202777777777778
Planta Sur,1,125.0,70.1,11.36,27.227777777777778,Compresor,Siemens,M400,4748.0,1.291388888888889
Planta Oeste,1,215.0,113.91000000000001,2.4466666666666668,14.521944444444445,Motor,GE,M400,3762.0,1.5077777777777779
Planta Este,1,1494.0,80.82,2.29,6.310555555555555,Compresor,ABB,X100,1915.0,1.8258333333333334
Planta Este,1,766.0,129.58,2.87,27.33416666666667,Generador,Schneider,X100,2825.0,0.35638888888888887
Planta Oeste,1,13.0,103.035,1.8,13.67013888888889,Transformador,Siemens,M400,2038.0,2.2205555555555554
Planta Norte,1,1209.0,87.30000000000001,2.71,12.802083333333334,Generador,GE,Z300,1650.0,1.495
Planta Oeste,1,729.0,112.64,2.45,7.901388888888889,Transformador,Siemens,X100,4948.0,1.8666666666666667
Planta Sur,1,1671.0,73.52,2.47,15.310555555555556,Transformador,ABB,Y200,3088.0,1.9013888888888888
Planta Este,1,1270.0,108.47,1.21,6.370555555555556,Motor,GE,X100,2068.0,0.5066666666666667
Planta Norte,1,1420.0,96.35499999999999,2.465,7.319305555555555,Compresor,Schneider,M400,216.0,1.4227777777777777
Planta Este,1,334.0,123.8,4.37,22.200833333333332,Compresor,Siemens,M400,-100.0,1.4041666666666666
Planta Sur,1,1358.0,139.03,3.0,23.003055555555555,Compresor,Schneider,Z300,506.0,2.654166666666667
Planta Este,1,792.0,80.105,3.625,19.20652777777778,Generador,Schneider,X100,1526.0,1.898611111111111
Planta Este,1,802.0,58.57,3.97,2.957777777777778,Generador,Siemens,X100,1372.0,2.705277777777778
Planta Sur,1,2475.0,105.88,4.42,8.878055555555555,Motor,ABB,Y200,2597.0,1.3869444444444445
Planta Sur,1,71.5,112.78,3.135,10.896944444444445,Generador,ABB,Z300,4614.0,0.32805555555555554
Planta Sur,1,1308.0,68.15666666666667,2.6266666666666665,8.82125,Motor,ABB,Z300,1706.0,1.2375
Planta Oeste,1,71.5,112.78,3.135,10.896944444444445,Generador,ABB,Z300,4614.0,0.32805555555555554
Planta Sur,1,358.0,107.27,4.04,11.539305555555556,Motor,Schneider,X100,2315.0,0.8805555555555555
Planta Este,1,109.0,100.6,1.52,26.05638888888889,Motor,ABB,M400,425.0,2.6127777777777776
Planta Oeste,1,74.0,55.42,1.29,12.955833333333333,Motor,Schneider,M400,766.0,1.5744444444444445
Planta Este,1,468.0,101.45,1.765,15.019305555555556,Motor,GE,X100,780.0,1.4622222222222223
Planta Este,1,454.0,103.54,1.655,22.093055555555555,Generador,Schneider,M400,2372.0,1.396388888888889
Planta Este,1,68.0,80.82,2.29,6.310555555555555,Compresor,ABB,X100,1915.0,1.8258333333333334
Planta Norte,1,552.0,136.65,3.25,5.111666666666666,Transformador,Schneider,Y200,2662.0,0.2791666666666667
Planta Oeste,1,2087.0,119.435,0.405,14.615694444444445,Generador,ABB,M400,2796.0,0.47694444444444445
Planta Norte,1,270.0,137.96,3.725,4.811527777777778,Motor,GE,Y200,1102.0,2.611111111111111
Planta Sur,1,557.0,96.24666666666667,2.8066666666666666,17.863796296296297,Transformador,GE,Y200,1795.0,1.8991666666666667
Planta Norte,1,632.0,114.94,4.3,20.06833333333333,Motor,Siemens,Y200,3461.0,2.091388888888889
Planta Norte,1,337.0,97.1875,1.8475,16.994583333333335,Compresor,GE,Z300,3897.0,2.625277777777778
Planta Sur,1,101.0,66.815,2.58,12.573194444444445,Motor,Schneider,Y200,3607.0,1.6902777777777778
Planta Este,1,1128.0,117.86666666666667,1.8033333333333335,17.75638888888889,Compresor,GE,Y200,1626.0,2.683333333333333
Planta Norte,1,365.0,121.85,2.23,1.2852777777777777,Transformador,Siemens,Z300,855.0,1.0247222222222223
Planta Oeste,1,89.0,103.035,1.8,13.67013888888889,Transformador,Siemens,M400,2038.0,2.2205555555555554
Planta Norte,1,1176.0,98.985,2.87,14.840277777777779,Motor,Schneider,M400,2185.0,0.8027777777777778
Planta Norte,1,654.0,62.42,2.2,13.044305555555555,Motor,GE,Y200,4749.0,1.7425
Planta Sur,1,389.0,106.71333333333332,1.93,14.923055555555555,Transformador,ABB,Z300,1711.0,2.658611111111111
Planta Oeste,1,513.0,88.58666666666666,2.42,13.700925925925926,Generador,Siemens,X100,4231.0,2.5130555555555554
Planta Este,1,359.0,96.945,2.0,10.127291666666666,Transformador,Siemens,X100,2249.0,0.8044444444444444
Planta Norte,1,334.0,69.525,3.41,14.450277777777778,Motor,GE,Z300,4547.0,0.2972222222222222
Planta Oeste,1,1313.0,96.59,3.92,2.367777777777778,Motor,Schneider,X100,1586.0,0.4461111111111111
Planta Oeste,1,471.0,55.04,2.6,2.9444444444444446,Transformador,Schneider,X100,1197.0,1.6436111111111111
Planta Este,1,118.0,55.63,3.35,24.92527777777778,Generador,ABB,Y200,-100.0,0.6941666666666667
Planta Norte,1,205.0,62.59,4.51,0.8463888888888889,Compresor,GE,M400,3918.0,0.5522222222222222
Planta Oeste,1,233.0,108.33,2.49,8.187777777777777,Compresor,GE,Z300,281.0,1.1766666666666667
Planta Oeste,1,421.0,107.94,4.35,26.484444444444446,Motor,Siemens,Z300,3066.0,0.9938888888888889
Planta Sur,1,91.0,68.15666666666667,2.6266666666666665,8.82125,Motor,ABB,Z300,1706.0,1.2375
Planta Oeste,1,1960.0,86.84,1.89,9.840555555555556,Compresor,GE,M400,3598.0,2.2394444444444446
Planta Este,1,1396.0,126.33,1.94,22.43,Compresor,Schneider,Y200,3111.0,1.2752777777777777
Planta Sur,1,357.0,141.37,1.81,14.294722222222223,Generador,Siemens,Z300,1796.0,1.4391666666666667
Planta Este,1,766.0,121.1175,3.4925,19.648333333333333,Motor,Schneider,M400,711.0,1.9822222222222223
Planta Sur,1,1207.0,136.655,3.455,2.2416666666666667,Compresor,Siemens,M400,314.0,1.8719444444444444
Planta Norte,1,2212.0,100.39,3.35,27.735,Compresor,GE,M400,3296.0,2.2933333333333334
Planta Oeste,1,142.0,70.1,11.36,27.227777777777778,Compresor,Siemens,M400,4748.0,1.291388888888889
Planta Oeste,1,197.0,86.38,4.25,0.1988888888888889,Compresor,GE,Y200,1652.0,2.4555555555555557
Planta Oeste,1,1068.0,122.59,3.61,2.8380555555555556,Transformador,GE,Y200,3710.0,1.8433333333333333
Planta Este,1,160.0,74.43,2.605,10.41611111111111,Generador,Schneider,Y200,2697.0,0.7202777777777778
Planta Norte,1,245.0,111.72,2.225,15.862222222222222,Motor,Schneider,Y200,4409.0,0.45361111111111113
Planta Norte,1,26.0,121.1175,3.4925,19.648333333333333,Motor,Schneider,M400,711.0,1.9822222222222223
Planta Sur,1,1333.0,94.545,2.7800000000000002,13.904166666666667,Generador,Schneider,M400,4432.0,0.7952777777777778
Planta Norte,1,95.0,119.435,0.405,14.615694444444445,Generador,ABB,M400,2796.0,0.47694444444444445
Planta Este,1,40.0,100.39,3.35,27.735,Compresor,GE,M400,3296.0,2.2933333333333334
Planta Oeste,1,176.0,112.64,2.45,7.901388888888889,Transformador,Siemens,X100,4948.0,1.8666666666666667
Planta Sur,1,1021.0,87.08999999999999,3.2533333333333325,13.80925925925926,Transformador,ABB,Y200,2069.0,0.8625
Planta Norte,1,266.0,55.86,1.14,26.096666666666668,Transformador,GE,Z300,4980.0,1.7797222222222222
Planta Este,1,1663.0,143.485,0.465,26.067777777777778,Motor,Siemens,M400,4916.0,1.3627777777777779
Planta Sur,0,2361.0,51.46,2.2,0.8605555555555555,Generador,ABB,X100,3786.0,2.6375
Planta Este,1,585.0,74.19999999999999,1.21,17.133333333333333,Transformador,Siemens,Y200,3247.0,1.8708333333333333
Planta Oeste,1,1328.0,96.535,2.165,9.425694444444444,Generador,ABB,Z300,3083.0,2.1825
Planta Sur,1,2361.0,51.46,2.2,0.8605555555555555,Generador,ABB,X100,3786.0,2.6375
Planta Este,1,371.0,134.85000000000002,1.74,8.060972222222222,Transformador,ABB,Z300,-100.0,2.7047222222222222
Planta Este,1,595.0,83.89,4.245,15.606805555555555,Generador,Schneider,M400,3905.0,1.1330555555555555
Planta Sur,1,869.0,145.82,4.49,23.698333333333334,Compresor,Siemens,X100,11976.5,0.8777777777777778
Planta Este,1,65.0,121.1175,3.4925,19.648333333333333,Motor,Schneider,M400,711.0,1.9822222222222223
Planta Norte,1,466.0,105.57,4.48,2.203333333333333,Motor,Siemens,Z300,4733.0,0.9169444444444445
Planta Sur,1,976.0,54.5,1.85,25.41888888888889,Motor,GE,M400,4223.0,0.4836111111111111
Planta Este,1,2542.0,73.17333333333333,2.4499999999999997,13.772407407407407,Compresor,Schneider,Z300,215.0,1.0563888888888888
Planta Norte,1,115.0,108.33,2.49,8.187777777777777,Compresor,GE,Z300,281.0,1.1766666666666667
Planta Este,1,580.0,102.24000000000001,3.9050000000000002,14.375416666666666,Transformador,Schneider,Z300,3479.0,1.076111111111111
Planta Este,1,275.0,95.385,2.085,18.690694444444443,Motor,GE,Z300,131.0,2.206111111111111
Planta Oeste,1,1027.0,93.87,2.905,16.525694444444444,Generador,GE,M400,4624.0,0.30777777777777776
Planta Este,1,792.0,126.925,2.3,6.611944444444444,Transformador,ABB,Y200,3385.0,2.4316666666666666
Planta Norte,1,48.0,77.5,1.9500000000000002,17.74513888888889,Transformador,Siemens,X100,11976.5,1.0461111111111112
Planta Norte,1,1964.0,95.69,2.3200000000000003,13.561388888888889,Compresor,GE,Y200,4669.0,0.9658333333333333
Planta Sur,1,1365.0,101.525,2.5100000000000002,11.208055555555555,Generador,GE,X100,248.0,0.24027777777777778
Planta Norte,1,415.0,90.69,2.67,4.245416666666666,Transformador,Siemens,M400,1708.0,0.3169444444444444
Planta Oeste,1,627.0,126.93,0.21,18.335,Compresor,Siemens,Y200,4276.0,1.8286111111111112
Planta Sur,1,1427.0,133.28,1.895,22.76388888888889,Transformador,Schneider,Y200,4585.0,1.9252777777777779
Planta Oeste,1,2089.0,92.77,3.55,25.596944444444443,Compresor,Schneider,X100,3572.0,1.7475
Planta Norte,1,133.0,86.84,1.89,9.840555555555556,Compresor,GE,M400,3598.0,2.2394444444444446
Planta Sur,1,294.0,95.72,3.47,13.03,Motor,ABB,Z300,1743.0,1.7208333333333334
Planta Sur,1,140.0,141.37,1.81,14.294722222222223,Generador,Siemens,Z300,1796.0,1.4391666666666667
Planta Oeste,1,530.0,64.98,4.2,4.8116666666666665,Compresor,ABB,M400,2824.0,1.1519444444444444
Planta Sur,1,810.0,124.6,1.25,27.210555555555555,Generador,GE,Z300,478.0,2.2622222222222224
Planta Oeste,1,2652.0,115.53,3.33,15.856666666666667,Motor,Schneider,X100,1965.0,0.34305555555555556
Planta Norte,1,2174.0,101.89999999999999,1.4100000000000001,12.956527777777778,Generador,Siemens,M400,3436.0,1.9552777777777777
Planta Sur,1,357.0,100.46333333333332,2.6666666666666665,5.683148148148148,Motor,ABB,Z300,227.0,2.0205555555555557
Planta Sur,1,1758.0,103.25,2.52,23.315277777777776,Generador,GE,M400,1264.0,2.6505555555555556
Planta Este,1,495.0,143.66,3.41,7.786666666666667,Transformador,ABB,Z300,2727.0,1.9427777777777777
Planta Este,1,51.0,73.17333333333333,2.4499999999999997,13.772407407407407,Compresor,Schneider,Z300,215.0,1.0563888888888888
Planta Norte,1,1249.0,104.28,3.17,9.334722222222222,Generador,ABB,Z300,1144.0,1.8211111111111111
Planta Oeste,1,113.0,119.435,0.405,14.615694444444445,Generador,ABB,M400,2796.0,0.47694444444444445
Planta Sur,1,857.0,73.4,3.99,7.851388888888889,Compresor,GE,M400,4929.0,1.6502777777777777
Planta Norte,1,1012.0,69.575,2.685,8.273472222222223,Generador,Siemens,X100,3877.0,2.091388888888889
Planta Oeste,1,487.0,79.75,3.5100000000000002,13.95,Transformador,Siemens,X100,244.0,1.7658333333333334
Planta Oeste,1,70.0,145.82,4.49,23.698333333333334,Compresor,Siemens,X100,11976.5,0.8777777777777778
Planta Sur,1,871.0,91.85,2.21,26.850277777777777,Compresor,Schneider,X100,685.0,0.2611111111111111
Planta Este,1,1057.0,89.91499999999999,3.02,13.810694444444444,Generador,GE,Y200,2647.0,2.1969444444444446
Planta Sur,1,801.0,59.075,1.495,10.383888888888889,Generador,Schneider,Z300,4192.0,2.5841666666666665
Planta Sur,0,1608.0,94.97749999999999,1.03,18.887847222222224,Motor,Siemens,M400,3820.0,0.5780555555555555
Planta Sur,1,1608.0,94.97749999999999,1.03,18.887847222222224,Motor,Siemens,M400,3820.0,0.5780555555555555
Planta Sur,1,288.0,58.57,3.97,2.957777777777778,Generador,Siemens,X100,1372.0,2.705277777777778
Planta Este,1,382.0,74.33,2.2,19.11138888888889,Generador,ABB,X100,1206.0,0.2947222222222222
Planta Sur,1,1239.0,121.525,1.7000000000000002,19.63986111111111,Compresor,GE,Z300,1789.0,2.006388888888889
Planta Este,1,831.0,109.67,4.08,11.008055555555556,Transformador,Siemens,X100,2729.0,0.6136111111111111
Planta Oeste,1,1338.0,112.98,0.87,17.526666666666667,Motor,ABB,X100,2331.0,2.766111111111111
Planta Sur,1,32.0,89.91499999999999,3.02,13.810694444444444,Generador,GE,Y200,2647.0,2.1969444444444446
Planta Oeste,1,119.0,51.46,2.2,0.8605555555555555,Generador,ABB,X100,3786.0,2.6375
Planta Oeste,1,1267.0,79.2125,3.385,13.216180555555555,Transformador,Siemens,M400,3839.0,0.49194444444444446
Planta Norte,1,83.0,133.28,1.895,22.76388888888889,Transformador,Schneider,Y200,4585.0,1.9252777777777779
Planta Oeste,1,415.0,94.02666666666666,2.61,5.514907407407407,Compresor,ABB,X100,446.0,0.7386111111111111
Planta Oeste,1,250.0,117.86666666666667,1.8033333333333335,17.75638888888889,Compresor,GE,Y200,1626.0,2.683333333333333
Planta Norte,1,1837.0,131.46,4.49,0.04833333333333333,Compresor,Schneider,Y200,3378.0,1.2375
Planta Oeste,1,2272.0,107.5,4.18,1.2377777777777779,Transformador,GE,M400,423.0,1.4141666666666666
Planta Sur,1,948.0,90.71,2.8800000000000003,14.992407407407407,Generador,GE,Y200,307.0,2.0755555555555554
Planta Norte,1,456.0,92.99,2.69,8.107222222222223,Transformador,Schneider,Z300,1274.0,0.6608333333333334
Planta Este,1,1608.0,117.41599999999998,2.0200000000000005,19.636777777777777,Transformador,ABB,X100,1198.0,1.2169444444444444
Planta Este,1,776.0,101.12666666666667,1.4566666666666668,23.26361111111111,Compresor,ABB,X100,3113.0,0.3997222222222222
Planta Sur,1,1751.0,106.93,1.89,6.795833333333333,Motor,Siemens,Y200,2089.0,2.3455555555555554
Planta Oeste,1,620.0,126.60666666666668,1.4766666666666666,15.252129629629628,Motor,GE,Y200,4459.0,2.3427777777777776
Planta Sur,1,298.0,103.54,1.655,22.093055555555555,Generador,Schneider,M400,2372.0,1.396388888888889
Planta Este,1,66.0,59.075,1.495,10.383888888888889,Generador,Schneider,Z300,4192.0,2.5841666666666665
Planta Norte,1,183.0,112.64,2.45,7.901388888888889,Transformador,Siemens,X100,4948.0,1.8666666666666667
Planta Este,1,420.0,81.79333333333334,0.9466666666666667,8.493796296296297,Transformador,GE,M400,253.0,2.1566666666666667
Planta Norte,1,570.0,133.24,2.46,2.4547222222222222,Generador,GE,Z300,1885.0,1.5108333333333333
Planta Este,1,422.0,54.62,2.71,23.60333333333333,Transformador,Siemens,Z300,385.0,0.9025
Planta Oeste,1,270.0,55.04,2.6,2.9444444444444446,Transformador,Schneider,X100,1197.0,1.6436111111111111
Planta Sur,1,874.0,99.665,2.665,19.32125,Compresor,ABB,X100,4944.0,2.330277777777778
Planta Sur,1,401.0,96.61000000000001,2.3899999999999997,10.885694444444445,Motor,Schneider,Y200,3480.0,1.2375
Planta Norte,1,914.0,146.36,1.94,26.010833333333334,Motor,Schneider,Z300,11976.5,2.4227777777777777
Planta Oeste,1,1083.0,139.82,2.98,5.417777777777777,Compresor,ABB,M400,3458.0,0.41694444444444445
Planta Este,1,1054.0,108.85,3.19,5.730972222222222,Generador,ABB,Y200,2067.0,2.5455555555555556
Planta Sur,1,354.0,95.16333333333334,4.316666666666666,15.22861111111111,Motor,ABB,X100,2395.0,0.7097222222222223
Planta Norte,1,118.0,119.435,0.405,14.615694444444445,Generador,ABB,M400,2796.0,0.47694444444444445
Planta Sur,1,552.0,84.75,3.56,18.028333333333332,Motor,Siemens,Y200,1491.0,2.029166666666667
Planta Este,1,1655.0,115.28,3.68,4.6433333333333335,Transformador,ABB,Y200,2175.0,0.23
Planta Sur,1,2164.0,147.0,2.06,17.73472222222222,Transformador,Schneider,Z300,1806.0,2.5930555555555554
Planta Oeste,1,182.0,54.5,1.85,25.41888888888889,Motor,GE,M400,4223.0,0.4836111111111111
Planta Norte,1,220.0,143.485,0.465,26.067777777777778,Motor,Siemens,M400,4916.0,1.3627777777777779
Planta Sur,1,1705.0,57.76,3.26,4.919444444444444,Compresor,Schneider,Y200,1568.0,1.8905555555555555
Planta Oeste,1,644.0,98.92333333333333,3.436666666666667,11.916666666666666,Generador,Schneider,X100,269.0,2.1241666666666665
Planta Norte,1,1005.0,137.13,2.56,20.141944444444444,Motor,ABB,M400,187.0,2.765
Planta Oeste,1,644.0,98.92333333333333,3.436666666666667,11.916666666666666,Generador,Schneider,X100,269.0,2.1241666666666665
Planta Este,1,1036.0,101.86,4.51,24.060555555555556,Motor,Schneider,X100,11976.5,0.8861111111111111
Planta Este,1,652.0,125.62,1.38,15.165,Transformador,Siemens,M400,3807.0,0.8827777777777778
Planta Norte,1,189.0,126.93,0.21,18.335,Compresor,Siemens,Y200,4276.0,1.8286111111111112
Planta Norte,1,353.0,66.815,2.58,12.573194444444445,Motor,Schneider,Y200,3607.0,1.6902777777777778
Planta Este,1,1326.0,63.05,2.985,16.202222222222222,Motor,GE,X100,2519.0,0.4375
Planta Norte,1,1126.0,103.11333333333333,2.18,8.341111111111111,Transformador,Schneider,M400,1099.0,2.406388888888889
Planta Sur,1,193.0,86.84,1.89,9.840555555555556,Compresor,GE,M400,3598.0,2.2394444444444446
Planta Sur,1,577.0,133.71,4.28,23.483333333333334,Compresor,Schneider,Y200,1671.0,2.3680555555555554
Planta Este,1,1047.0,89.27,2.44,13.461527777777778,Motor,GE,Y200,1911.0,1.7077777777777778
Planta Oeste,1,294.0,86.7,0.48999999999999994,14.211388888888889,Transformador,GE,Y200,3653.0,2.3519444444444444
Planta Sur,1,424.0,110.81333333333333,2.22,17.07342592592593,Compresor,Siemens,Y200,4265.0,1.5730555555555557
Planta Este,1,2260.0,77.41499999999999,3.495,25.67486111111111,Motor,ABB,Y200,4463.0,2.4591666666666665
Planta Sur,1,635.0,132.09,3.005,10.424027777777777,Generador,ABB,Y200,1884.0,1.9177777777777778
Planta Norte,1,871.0,82.88,1.21,4.946666666666666,Motor,Schneider,M400,4782.0,0.6802777777777778
Planta Oeste,1,89.0,91.21,1.86,26.676666666666666,Compresor,ABB,Z300,4546.0,0.5725
Planta Sur,1,68.0,114.565,2.705,11.592361111111112,Motor,ABB,Z300,1780.0,2.319722222222222
Planta Oeste,1,496.0,114.02000000000001,3.325,23.41888888888889,Generador,Siemens,X100,2395.0,2.4852777777777777
Planta Sur,1,2571.0,52.78,0.99,15.975,Motor,Siemens,Y200,1631.0,0.4488888888888889
Planta Norte,1,54.0,81.85666666666667,1.4100000000000001,6.879351851851852,Motor,Siemens,X100,1145.0,0.5722222222222222
Planta Este,1,112.0,107.31,4.32,19.49416666666667,Transformador,GE,M400,253.0,2.1566666666666667
Planta Oeste,1,555.0,73.185,1.125,18.84875,Transformador,Schneider,M400,3570.0,1.2016666666666667
Planta Este,1,621.0,110.105,3.25,8.478333333333333,Compresor,Schneider,Y200,11976.5,1.031111111111111
Planta Este,1,382.0,116.91333333333334,2.0033333333333334,12.516944444444444,Motor,GE,Z300,4547.0,0.2972222222222222
Planta Este,1,1072.0,105.00333333333333,3.6799999999999997,11.733055555555556,Motor,ABB,Y200,1220.0,1.7891666666666666
Planta Oeste,1,1230.0,128.405,1.2149999999999999,19.42625,Generador,Siemens,Z300,1058.0,2.5322222222222224
Planta Oeste,1,215.0,68.6,0.41,4.84,Compresor,GE,M400,4929.0,1.6502777777777777
Planta Sur,1,178.0,85.26,3.58,13.901944444444444,Compresor,GE,Z300,1789.0,2.006388888888889
Planta Oeste,1,2625.0,102.38499999999999,0.75,13.283888888888889,Motor,GE,Y200,1380.0,1.2180555555555554
Planta Norte,1,926.0,104.0,0.85,20.71361111111111,Compresor,Siemens,Y200,4845.0,0.44916666666666666
