Ubicacion,Fallo,Promedio_Horas_Entre_Fallos_por_mes,Día,Promedio_Temperatura_C,Promedio_Vibracion_mm_s,Promedio_Horas_Operativas,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
Planta Sur,1,646.0,28,101.2,2.95,98915.0,Transformador,GE,X100,592.0,4587
Planta Oeste,0,929.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,0,318.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,0,21.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,1,788.0,6,52.06,0.32,47428.0,Generador,ABB,Y200,731.0,3490
Planta Oeste,1,788.0,12,143.81,4.0,11274.0,Generador,ABB,Y200,731.0,3490
Planta Oeste,1,788.0,28,84.47,2.84,77506.0,Generador,ABB,Y200,731.0,3490
Planta Este,1,124.0,4,148.43,3.01,8421.0,Generador,GE,Z300,1650.0,5382
Planta Este,0,939.0,4,84.265,2.41,33383.5,Transformador,Siemens,M400,3839.0,1771
Planta Este,0,939.0,26,52.72,3.97,99492.0,Transformador,Siemens,M400,3839.0,1771
Planta Sur,1,166.0,7,106.84,2.74,86233.0,Generador,GE,X100,248.0,865
Planta Sur,1,77.0,7,106.84,2.74,86233.0,Generador,GE,X100,248.0,865
Planta Norte,1,215.0,11,148.28,3.43,7202.0,Generador,Schneider,Y200,2363.0,5881
Planta Norte,1,215.0,27,125.69,4.8,48713.0,Generador,Schneider,Y200,2363.0,5881
Planta Norte,1,277.0,11,148.28,3.43,7202.0,Generador,Schneider,Y200,2363.0,5881
Planta Norte,1,277.0,27,125.69,4.8,48713.0,Generador,Schneider,Y200,2363.0,5881
Planta Oeste,0,1048.0,14,82.39,2.46,90107.0,Compresor,Siemens,Y200,2683.0,2185
Planta Oeste,0,1048.0,22,121.98,0.62,13687.0,Compresor,Siemens,Y200,2683.0,2185
Planta Norte,1,492.0,5,105.65,3.7,44155.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,492.0,15,136.9,3.22,16855.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,492.0,20,84.59,0.82,6084.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,5,105.65,3.7,44155.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,15,136.9,3.22,16855.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,20,84.59,0.82,6084.0,Compresor,ABB,X100,4944.0,8389
Planta Este,0,636.0,14,71.47,1.6,44893.0,Transformador,Siemens,X100,2838.0,5809
Planta Este,0,636.0,25,140.47,4.01,60762.0,Transformador,Siemens,X100,2838.0,5809
Planta Norte,1,1080.0,18,88.28,3.09,90855.0,Compresor,GE,M400,4929.0,5941
Planta Este,1,50.0,28,110.11,4.13,84191.0,Transformador,Schneider,X100,326.0,7398
Planta Este,1,457.0,28,110.11,4.13,84191.0,Transformador,Schneider,X100,326.0,7398
Planta Este,0,884.0,18,75.4,3.12,23294.0,Compresor,GE,Y200,1652.0,8840
Planta Este,0,631.0,22,85.02,3.01,36109.0,Compresor,ABB,M400,2074.0,6712
Planta Oeste,0,202.0,5,96.64,3.14,80196.0,Transformador,Siemens,Z300,1396.0,8560
Planta Oeste,0,202.0,22,120.03,3.52,60029.0,Transformador,Siemens,Z300,1396.0,8560
Planta Este,1,738.0,4,128.3,3.68,90361.0,Generador,Schneider,M400,4432.0,2863
Planta Este,1,738.0,7,95.88,1.09,91988.0,Generador,Schneider,M400,4432.0,2863
Planta Norte,0,473.0,10,94.73,1.04,86735.0,Compresor,ABB,Z300,1328.0,7713
Planta Este,0,83.0,4,77.49,4.64,27551.0,Motor,ABB,Z300,227.0,7274
Planta Este,0,83.0,8,137.25,4.24,70473.0,Motor,ABB,Z300,227.0,7274
Planta Oeste,0,127.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,127.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,208.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,208.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,247.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,247.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Este,1,121.0,7,147.04,0.29,88873.0,Generador,Schneider,Z300,4192.0,9303
Planta Este,1,185.0,6,141.73000000000002,2.085,59796.5,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,185.0,16,115.37,2.09,50572.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,185.0,17,135.91,3.87,18070.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,92.0,6,141.73000000000002,2.085,59796.5,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,92.0,16,115.37,2.09,50572.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,92.0,17,135.91,3.87,18070.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,274.0,6,141.73000000000002,2.085,59796.5,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,274.0,16,115.37,2.09,50572.0,Motor,Schneider,Y200,4409.0,1633
Planta Este,1,274.0,17,135.91,3.87,18070.0,Motor,Schneider,Y200,4409.0,1633
Planta Oeste,1,650.0,27,138.34,2.69,16539.0,Generador,GE,Y200,3960.0,9489
Planta Oeste,1,109.0,27,138.34,2.69,16539.0,Generador,GE,Y200,3960.0,9489
Planta Norte,1,492.0,5,105.65,3.7,44155.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,492.0,15,136.9,3.22,16855.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,492.0,20,84.59,0.82,6084.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,5,105.65,3.7,44155.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,15,136.9,3.22,16855.0,Compresor,ABB,X100,4944.0,8389
Planta Norte,1,32.0,20,84.59,0.82,6084.0,Compresor,ABB,X100,4944.0,8389
Planta Oeste,1,453.5,4,148.37,2.79,90928.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,453.5,11,84.3,1.77,75703.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,164.0,4,148.37,2.79,90928.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,164.0,11,84.3,1.77,75703.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,137.0,4,148.37,2.79,90928.0,Transformador,ABB,Y200,3158.0,3100
Planta Oeste,1,137.0,11,84.3,1.77,75703.0,Transformador,ABB,Y200,3158.0,3100
Planta Sur,1,1023.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Sur,1,113.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Sur,1,70.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Sur,0,141.0,25,147.96,0.68,90637.0,Motor,GE,Z300,2945.0,3638
Planta Oeste,0,327.0,16,50.24,0.97,84403.0,Transformador,Schneider,Y200,3050.0,7955
Planta Oeste,0,327.0,29,82.84,4.62,14597.0,Transformador,Schneider,Y200,3050.0,7955
Planta Norte,0,1048.0,14,82.39,2.46,90107.0,Compresor,Siemens,Y200,2683.0,2185
Planta Norte,0,1048.0,22,121.98,0.62,13687.0,Compresor,Siemens,Y200,2683.0,2185
Planta Norte,0,964.0,19,127.97,3.85,17062.0,Compresor,GE,X100,3119.0,1099
Planta Este,1,414.0,8,102.17,0.83,53665.0,Generador,Siemens,X100,3877.0,7529
Planta Este,1,450.0,8,102.17,0.83,53665.0,Generador,Siemens,X100,3877.0,7529
Planta Norte,1,568.0,18,116.91,1.91,41248.0,Transformador,Schneider,Y200,4004.0,1119
Planta Norte,1,568.0,22,104.73,3.48,7030.0,Transformador,Schneider,Y200,4004.0,1119
Planta Sur,1,229.0,9,111.27,3.99,60200.0,Generador,Siemens,X100,953.0,3630
Planta Sur,1,229.0,11,104.66,1.17,12590.0,Generador,Siemens,X100,953.0,3630
Planta Sur,1,229.0,23,108.8,3.08,82180.0,Generador,Siemens,X100,953.0,3630
Planta Norte,0,465.0,6,62.94,4.64,36561.0,Motor,GE,Y200,4749.0,6273
Planta Norte,0,465.0,15,106.88,3.6,65127.0,Motor,GE,Y200,4749.0,6273
Planta Norte,0,465.0,22,63.35,4.8,9615.0,Motor,GE,Y200,4749.0,6273
Planta Norte,0,506.0,15,60.19,0.28,54310.0,Transformador,Siemens,M400,3807.0,3178
Planta Norte,0,506.0,17,138.88,2.42,11544.0,Transformador,Siemens,M400,3807.0,3178
Planta Norte,0,506.0,18,60.34,0.77,49244.0,Transformador,Siemens,M400,3807.0,3178
Planta Sur,1,127.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,127.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,208.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,208.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,247.0,7,131.59,1.41,53258.0,Transformador,Schneider,Y200,2662.0,1005
Planta Sur,1,247.0,23,66.4,1.25,70851.0,Transformador,Schneider,Y200,2662.0,1005
Planta Oeste,0,257.0,6,90.21,2.66,70179.0,Generador,Schneider,Y200,2697.0,2593
Planta Oeste,0,257.0,10,97.39,1.38,43749.0,Generador,Schneider,Y200,2697.0,2593
Planta Oeste,0,257.0,11,68.63,2.35,75425.0,Generador,Schneider,Y200,2697.0,2593
Planta Este,0,421.0,14,77.71000000000001,3.11,72145.0,Generador,GE,Y200,4854.0,2005
Planta Oeste,1,465.0,9,137.35,3.38,62236.0,Generador,Schneider,Y200,1018.0,7884
Planta Oeste,1,465.0,10,58.95,4.06,10895.0,Generador,Schneider,Y200,1018.0,7884
Planta Oeste,1,465.0,12,61.27,0.6,6243.0,Generador,Schneider,Y200,1018.0,7884
Planta Oeste,1,465.0,18,144.26,1.73,86011.0,Generador,Schneider,Y200,1018.0,7884
Planta Oeste,1,166.0,7,106.84,2.74,86233.0,Generador,GE,X100,248.0,865
Planta Oeste,1,77.0,7,106.84,2.74,86233.0,Generador,GE,X100,248.0,865
Planta Sur,1,281.0,17,80.34,4.2,83456.0,Motor,Schneider,M400,4597.0,3659
Planta Sur,1,281.0,19,108.3,0.26,62874.0,Motor,Schneider,M400,4597.0,3659
Planta Este,0,163.0,4,111.5,0.71,16861.0,Transformador,ABB,Y200,3088.0,6845
Planta Sur,1,1083.0,5,50.81,1.69,14641.0,Generador,GE,Z300,1885.0,5439
Planta Norte,1,545.0,18,96.15,4.11,86976.0,Transformador,ABB,Z300,-100.0,9737
Planta Norte,1,545.0,23,95.47,3.97,82741.0,Transformador,ABB,Z300,-100.0,9737
Planta Norte,1,389.0,18,96.15,4.11,86976.0,Transformador,ABB,Z300,-100.0,9737
Planta Norte,1,389.0,23,95.47,3.97,82741.0,Transformador,ABB,Z300,-100.0,9737
Planta Sur,1,1168.0,21,147.57,0.43,48223.0,Motor,ABB,Y200,4152.0,3183
Planta Norte,1,929.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Norte,1,318.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Norte,1,21.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Oeste,1,1169.0,10,92.9,0.4,89115.0,Compresor,GE,M400,3918.0,1988
Planta Norte,1,1312.0,9,57.59,3.19,59791.0,Motor,Schneider,Y200,2600.0,2830
Planta Oeste,0,286.0,19,115.78,0.78,46870.0,Compresor,Schneider,Z300,506.0,9555
Planta Este,0,1154.0,2,109.49,3.55,55924.0,Motor,GE,X100,1599.0,8383
Planta Este,0,1154.0,19,79.8,5.0,38637.0,Motor,GE,X100,1599.0,8383
Planta Este,0,1154.0,29,107.94,0.78,34625.0,Motor,GE,X100,1599.0,8383
Planta Oeste,1,257.0,6,90.21,2.66,70179.0,Generador,Schneider,Y200,2697.0,2593
Planta Oeste,1,257.0,10,97.39,1.38,43749.0,Generador,Schneider,Y200,2697.0,2593
Planta Oeste,1,257.0,11,68.63,2.35,75425.0,Generador,Schneider,Y200,2697.0,2593
Planta Oeste,1,1233.0,22,104.93,4.0,47599.0,Generador,Siemens,X100,2395.0,8947
Planta Sur,0,1169.0,10,92.9,0.4,89115.0,Compresor,GE,M400,3918.0,1988
Planta Oeste,1,1023.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Oeste,1,113.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Oeste,1,70.0,27,60.3,1.1,25157.0,Generador,ABB,M400,1536.0,1999
Planta Oeste,1,540.0,24,142.87,4.78,68007.0,Motor,Schneider,M400,2185.0,2890
Planta Oeste,1,540.0,27,115.3,3.23,41858.0,Motor,Schneider,M400,2185.0,2890
Planta Este,1,929.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Este,1,318.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Este,1,21.0,18,68.48,1.85,11229.0,Transformador,ABB,X100,2617.0,8191
Planta Sur,0,786.0,16,98.32,1.69,92548.0,Compresor,Schneider,Z300,768.0,7515
Planta Oeste,1,6.0,8,143.85,0.97,84893.0,Transformador,Siemens,X100,2864.0,6610
Planta Oeste,1,6.0,26,62.6,4.76,11143.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,1,143.0,4,63.39,0.23,24270.0,Compresor,Siemens,M400,314.0,6739
Planta Sur,1,143.0,23,109.35,4.38,97861.0,Compresor,Siemens,M400,314.0,6739
Planta Sur,1,29.0,4,63.39,0.23,24270.0,Compresor,Siemens,M400,314.0,6739
Planta Sur,1,29.0,23,109.35,4.38,97861.0,Compresor,Siemens,M400,314.0,6739
Planta Sur,1,561.0,4,63.39,0.23,24270.0,Compresor,Siemens,M400,314.0,6739
Planta Sur,1,561.0,23,109.35,4.38,97861.0,Compresor,Siemens,M400,314.0,6739
Planta Oeste,0,846.0,12,111.1,2.23,84166.0,Transformador,GE,Z300,2713.0,3142
Planta Oeste,0,846.0,21,50.55,0.11,17618.0,Transformador,GE,Z300,2713.0,3142
Planta Norte,1,696.0,18,57.36,2.17,72563.0,Compresor,Schneider,X100,4925.0,7358
Planta Norte,1,155.0,18,57.36,2.17,72563.0,Compresor,Schneider,X100,4925.0,7358
Planta Sur,1,6.0,8,143.85,0.97,84893.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,1,6.0,26,62.6,4.76,11143.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,0,498.0,29,68.34,1.88,30638.0,Generador,ABB,M400,2102.0,1681
Planta Sur,0,173.0,29,68.34,1.88,30638.0,Generador,ABB,M400,2102.0,1681
Planta Sur,1,1313.0,3,54.4,1.15,13482.0,Motor,Siemens,M400,4351.0,3549
Planta Sur,1,1313.0,27,72.39,2.5,15195.0,Motor,Siemens,M400,4351.0,3549
Planta Este,1,142.0,12,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Este,1,492.0,12,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Norte,1,1122.0,15,126.39,3.54,44600.0,Compresor,GE,M400,2471.0,7099
Planta Norte,1,1122.0,16,54.01,2.16,6730.0,Compresor,GE,M400,2471.0,7099
Planta Oeste,1,421.0,14,77.71000000000001,3.11,72145.0,Generador,GE,Y200,4854.0,2005
Planta Oeste,1,673.0,17,104.5,3.3,10395.0,Compresor,Schneider,Z300,3400.0,2557
Planta Oeste,1,673.0,24,142.87,2.61,54642.0,Compresor,Schneider,Z300,3400.0,2557
Planta Norte,1,168.0,11,109.9,3.37,17717.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,168.0,13,134.21,4.65,37232.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,534.0,11,109.9,3.37,17717.0,Generador,Schneider,Y200,633.0,8203
Planta Norte,1,534.0,13,134.21,4.65,37232.0,Generador,Schneider,Y200,633.0,8203
Planta Oeste,1,302.0,24,126.5,0.41,15905.0,Motor,Schneider,X100,2315.0,3170
Planta Oeste,1,187.0,24,126.5,0.41,15905.0,Motor,Schneider,X100,2315.0,3170
Planta Sur,0,465.0,9,137.35,3.38,62236.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,10,58.95,4.06,10895.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,12,61.27,0.6,6243.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,18,144.26,1.73,86011.0,Generador,Schneider,Y200,1018.0,7884
Planta Norte,0,696.0,16,69.28,4.31,5666.0,Motor,Siemens,Z300,4932.0,8281
Planta Norte,0,696.0,22,128.35,3.16,64269.0,Motor,Siemens,Z300,4932.0,8281
Planta Este,1,914.0,1,75.43,4.42,44425.0,Motor,Schneider,M400,4523.0,3637
Planta Este,1,914.0,22,91.62,2.37,63019.0,Motor,Schneider,M400,4523.0,3637
Planta Este,1,914.0,29,87.46,2.96,62605.0,Motor,Schneider,M400,4523.0,3637
Planta Este,1,964.0,5,89.4,0.99,85267.0,Transformador,Siemens,Y200,75.0,7390
Planta Este,1,964.0,9,94.57,1.78,56227.0,Transformador,Siemens,Y200,75.0,7390
Planta Este,1,964.0,16,59.77,1.17,92626.0,Transformador,Siemens,Y200,75.0,7390
Planta Norte,1,707.0,14,114.62,1.23,75328.0,Motor,ABB,X100,4940.0,2463
Planta Norte,1,718.0,1,108.39,1.58,10819.0,Motor,Schneider,Z300,396.0,5295
Planta Norte,1,60.0,26,61.77,4.4,64100.0,Motor,ABB,Y200,3925.0,5112
Planta Norte,1,95.0,26,61.77,4.4,64100.0,Motor,ABB,Y200,3925.0,5112
Planta Norte,1,554.0,26,61.77,4.4,64100.0,Motor,ABB,Y200,3925.0,5112
Planta Sur,1,978.0,7,62.29,4.21,24273.0,Transformador,ABB,M400,2769.0,8223
Planta Sur,0,465.0,9,137.35,3.38,62236.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,10,58.95,4.06,10895.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,12,61.27,0.6,6243.0,Generador,Schneider,Y200,1018.0,7884
Planta Sur,0,465.0,18,144.26,1.73,86011.0,Generador,Schneider,Y200,1018.0,7884
Planta Este,1,473.0,10,94.73,1.04,86735.0,Compresor,ABB,Z300,1328.0,7713
Planta Este,0,669.0,3,97.42,2.45,40458.0,Compresor,GE,Z300,621.0,3529
Planta Este,0,669.0,14,62.83,0.66,32653.0,Compresor,GE,Z300,621.0,3529
Planta Este,0,669.0,22,59.47,4.66,49316.0,Compresor,GE,Z300,621.0,3529
Planta Este,0,669.0,25,74.74,1.49,59498.0,Compresor,GE,Z300,621.0,3529
Planta Norte,1,1221.0,1,51.02,3.98,47909.0,Transformador,GE,M400,253.0,7764
Planta Norte,1,1221.0,19,82.68,4.3,82238.0,Transformador,GE,M400,253.0,7764
Planta Norte,1,208.0,1,51.02,3.98,47909.0,Transformador,GE,M400,253.0,7764
Planta Norte,1,208.0,19,82.68,4.3,82238.0,Transformador,GE,M400,253.0,7764
Planta Este,0,142.0,12,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Este,0,492.0,12,82.87,4.6,52717.0,Generador,ABB,M400,825.0,7850
Planta Este,0,506.0,15,60.19,0.28,54310.0,Transformador,Siemens,M400,3807.0,3178
Planta Este,0,506.0,17,138.88,2.42,11544.0,Transformador,Siemens,M400,3807.0,3178
Planta Este,0,506.0,18,60.34,0.77,49244.0,Transformador,Siemens,M400,3807.0,3178
Planta Oeste,1,783.0,22,50.35,2.52,15876.0,Generador,GE,X100,2669.0,7561
Planta Sur,0,6.0,8,143.85,0.97,84893.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,0,6.0,26,62.6,4.76,11143.0,Transformador,Siemens,X100,2864.0,6610
Planta Sur,1,547.0,6,73.0,2.13,42915.0,Motor,ABB,X100,2331.0,9958
Planta Oeste,1,1379.0,13,143.13,3.37,51854.0,Transformador,Siemens,Z300,1881.0,4891
Planta Oeste,1,94.0,9,137.31,1.53,95582.0,Compresor,GE,M400,4929.0,5941
Planta Oeste,1,427.0,9,137.31,1.53,95582.0,Compresor,GE,M400,4929.0,5941
Planta Sur,0,84.0,16,70.57,3.89,71342.0,Transformador,ABB,Y200,2069.0,3105
Planta Sur,0,56.0,16,70.57,3.89,71342.0,Transformador,ABB,Y200,2069.0,3105
Planta Oeste,0,1494.0,4,120.47,2.04,76479.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,0,1494.0,5,102.56,0.22,53108.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,0,1494.0,18,74.23,1.48,55074.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,0,1494.0,20,125.04,2.12,59336.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,0,1494.0,22,101.53,1.62,63603.0,Motor,Siemens,Y200,3461.0,7529
Planta Oeste,0,1494.0,30,67.59,4.38,7824.0,Motor,Siemens,Y200,3461.0,7529
Planta Este,1,94.0,9,137.31,1.53,95582.0,Compresor,GE,M400,4929.0,5941
Planta Este,1,427.0,9,137.31,1.53,95582.0,Compresor,GE,M400,4929.0,5941
Planta Oeste,0,1010.0,15,91.9,4.63,6229.0,Compresor,GE,X100,3513.0,8895
Planta Oeste,0,1010.0,23,60.06,4.4,35456.0,Compresor,GE,X100,3513.0,8895
Planta Oeste,0,1010.0,24,104.68,3.8,2777.0,Compresor,GE,X100,3513.0,8895
Planta Oeste,0,1010.0,26,61.29,3.86,75521.0,Compresor,GE,X100,3513.0,8895
Planta Este,1,58.0,13,124.51,0.59,69084.0,Generador,Schneider,Y200,633.0,8203
Planta Sur,1,543.0,7,55.34,0.39,90905.0,Compresor,Siemens,Z300,3902.0,9335
Planta Sur,1,543.0,22,117.85,4.95,77364.0,Compresor,Siemens,Z300,3902.0,9335
Planta Sur,1,536.0,27,133.24,1.5,78571.0,Motor,ABB,M400,3897.0,7338
Planta Este,0,998.0,4,71.81,3.35,20670.0,Generador,ABB,Z300,1730.0,3169
Planta Sur,1,175.0,18,67.52,3.8,55331.0,Motor,Siemens,Y200,2525.0,1622
Planta Este,0,267.0,5,140.32,0.75,19507.0,Generador,ABB,M400,1536.0,1999
Planta Este,0,267.0,14,94.62,4.8,36233.0,Generador,ABB,M400,1536.0,1999
Planta Este,0,154.0,5,140.32,0.75,19507.0,Generador,ABB,M400,1536.0,1999
Planta Este,0,154.0,14,94.62,4.8,36233.0,Generador,ABB,M400,1536.0,1999
Planta Este,1,219.0,7,52.21,0.5,23625.0,Generador,ABB,Z300,1144.0,6556
Planta Este,1,219.0,9,107.32,1.48,48344.0,Generador,ABB,Z300,1144.0,6556
Planta Este,1,219.0,14,97.55,1.24,86264.0,Generador,ABB,Z300,1144.0,6556
Planta Este,1,219.0,29,63.51,1.11,59209.0,Generador,ABB,Z300,1144.0,6556
Planta Sur,1,938.0,16,94.12,1.48,36254.0,Compresor,ABB,Y200,4783.0,5133
Planta Sur,1,938.0,21,109.51,0.72,27836.0,Compresor,ABB,Y200,4783.0,5133
Planta Sur,1,938.0,23,116.59,2.52,42912.0,Compresor,ABB,Y200,4783.0,5133
Planta Norte,0,850.0,1,73.89,0.55,57082.0,Motor,GE,Y200,1102.0,9400
Planta Norte,0,850.0,12,94.95,3.8,41526.0,Motor,GE,Y200,1102.0,9400
Planta Norte,0,137.0,1,73.89,0.55,57082.0,Motor,GE,Y200,1102.0,9400
Planta Norte,0,137.0,12,94.95,3.8,41526.0,Motor,GE,Y200,1102.0,9400
Planta Norte,0,212.0,1,73.89,0.55,57082.0,Motor,GE,Y200,1102.0,9400
Planta Norte,0,212.0,12,94.95,3.8,41526.0,Motor,GE,Y200,1102.0,9400
Planta Este,0,1.0,6,115.74,1.27,72898.0,Generador,GE,X100,154.0,2131
Planta Este,0,1.0,8,52.61,2.61,39209.0,Generador,GE,X100,154.0,2131
Planta Este,0,1.0,12,119.58,1.06,68611.0,Generador,GE,X100,154.0,2131
Planta Este,0,1.0,16,108.93,3.7,90081.0,Generador,GE,X100,154.0,2131
Planta Este,0,1.0,19,147.96,3.72,50984.0,Generador,GE,X100,154.0,2131
Planta Este,1,84.0,16,70.57,3.89,71342.0,Transformador,ABB,Y200,2069.0,3105
Planta Este,1,56.0,16,70.57,3.89,71342.0,Transformador,ABB,Y200,2069.0,3105
Planta Sur,1,1444.0,4,126.56,3.42,44109.0,Generador,ABB,X100,194.0,4061
Planta Sur,1,1444.0,20,60.82,0.1,17885.0,Generador,ABB,X100,194.0,4061
Planta Sur,1,75.0,4,126.56,3.42,44109.0,Generador,ABB,X100,194.0,4061
Planta Sur,1,75.0,20,60.82,0.1,17885.0,Generador,ABB,X100,194.0,4061
Planta Este,0,664.0,6,95.66,0.22,69497.0,Compresor,ABB,X100,4944.0,8389
Planta Sur,0,1151.0,15,106.29,0.91,97362.0,Generador,Schneider,X100,4059.0,9887
Planta Sur,0,403.0,15,106.29,0.91,97362.0,Generador,Schneider,X100,4059.0,9887
Planta Norte,1,124.0,2,106.37,3.73,83525.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,124.0,3,115.13,0.34,2197.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,124.0,22,138.98,2.32,57143.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,124.0,26,62.71,1.01,76350.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,124.0,31,128.26,4.25,24008.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,344.0,2,106.37,3.73,83525.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,344.0,3,115.13,0.34,2197.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,344.0,22,138.98,2.32,57143.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,344.0,26,62.71,1.01,76350.0,Motor,GE,X100,3637.0,1818
Planta Norte,1,344.0,31,128.26,4.25,24008.0,Motor,GE,X100,3637.0,1818
Planta Oeste,1,219.0,7,52.21,0.5,23625.0,Generador,ABB,Z300,1144.0,6556
Planta Oeste,1,219.0,9,107.32,1.48,48344.0,Generador,ABB,Z300,1144.0,6556
Planta Oeste,1,219.0,14,97.55,1.24,86264.0,Generador,ABB,Z300,1144.0,6556
Planta Oeste,1,219.0,29,63.51,1.11,59209.0,Generador,ABB,Z300,1144.0,6556
Planta Norte,1,109.0,30,64.72,4.52,55082.0,Compresor,Siemens,Y200,521.0,7978
Planta Oeste,1,540.0,27,100.45,4.52,67831.0,Compresor,Schneider,Y200,1671.0,8525
Planta Oeste,1,215.0,27,100.45,4.52,67831.0,Compresor,Schneider,Y200,1671.0,8525
Planta Oeste,1,177.0,27,100.45,4.52,67831.0,Compresor,Schneider,Y200,1671.0,8525
Planta Sur,1,1232.0,8,96.73,3.98,8959.0,Motor,ABB,M400,4074.0,7154
Planta Sur,1,1232.0,13,148.23,2.65,10825.0,Motor,ABB,M400,4074.0,7154
Planta Sur,1,1232.0,25,83.59,3.26,40351.0,Motor,ABB,M400,4074.0,7154
Planta Sur,1,222.0,8,96.73,3.98,8959.0,Motor,ABB,M400,4074.0,7154
Planta Sur,1,222.0,13,148.23,2.65,10825.0,Motor,ABB,M400,4074.0,7154
Planta Sur,1,222.0,25,83.59,3.26,40351.0,Motor,ABB,M400,4074.0,7154
